chutes_1,chutes_2,chutes_no_alvo_1,chutes_no_alvo_2,posse_de_bola_1,posse_de_bola_2,passes_1,passes_2,precisao_passes_1,precisao_passes_2,faltas_1,faltas_2,cartao_amarelo_1,cartao_amarelo_2,cartao_vermelho_1,cartao_vermelho_2,impedimentos_1,impedimentos_2,escanteios_1,escanteios_2,resultado
9,21,0,0,0.47,0.53,413,457,0.8034264184397164,0.8052482269503546,12,16,3,0,0,0,3,2,7,5,1
10,9,0,0,0.41,0.59,345,495,0.8034264184397164,0.8052482269503546,14,14,1,1,0,0,0,1,2,3,0
8,14,0,0,0.54,0.46,516,434,0.8034264184397164,0.8052482269503546,19,17,3,0,0,1,3,3,5,10,0
9,12,0,0,0.54,0.46,477,409,0.8034264184397164,0.8052482269503546,21,21,5,5,0,0,4,3,2,6,2
7,15,2,5,0.33,0.67,253,475,0.8034264184397164,0.8052482269503546,23,24,3,5,1,1,0,1,1,8,2
9,22,0,0,0.32,0.68,266,545,0.8034264184397164,0.8052482269503546,17,11,3,5,0,1,2,1,5,4,1
12,9,0,0,0.47,0.53,385,442,0.8034264184397164,0.8052482269503546,12,8,1,4,0,0,1,5,6,4,1
14,16,0,0,0.52,0.48,441,417,0.8034264184397164,0.8052482269503546,15,18,1,3,2,0,0,3,6,2,2
12,10,0,0,0.47,0.53,314,349,0.8034264184397164,0.8052482269503546,12,16,5,3,0,0,1,1,10,7,1
13,8,0,0,0.63,0.37,531,329,0.8034264184397164,0.8052482269503546,14,15,5,3,0,1,1,0,8,1,1
13,20,0,0,0.38,0.62,397,627,0.8034264184397164,0.8052482269503546,22,10,2,3,0,0,6,0,3,5,1
7,16,0,0,0.46,0.54,395,479,0.8034264184397164,0.8052482269503546,12,15,3,3,0,0,3,4,10,7,2
8,11,0,0,0.48,0.52,378,410,0.8034264184397164,0.8052482269503546,17,16,3,2,0,0,1,2,10,5,1
12,8,6,4,0.53,0.47,451,414,0.8034264184397164,0.8052482269503546,13,24,1,4,0,0,1,3,3,4,1
9,16,0,0,0.33,0.67,296,597,0.8034264184397164,0.8052482269503546,13,11,4,2,0,0,1,4,3,7,1
15,5,0,0,0.57,0.43,456,354,0.8034264184397164,0.8052482269503546,15,13,1,4,0,0,3,1,9,2,0
18,6,0,0,0.64,0.36,437,262,0.8034264184397164,0.8052482269503546,13,12,1,0,0,1,2,1,5,1,1
11,14,0,0,0.36,0.64,268,462,0.8034264184397164,0.8052482269503546,13,12,0,0,0,0,2,3,6,7,2
18,19,0,0,0.52,0.48,451,416,0.8034264184397164,0.8052482269503546,17,15,2,2,0,0,2,3,6,2,0
14,13,0,0,0.51,0.49,432,430,0.8034264184397164,0.8052482269503546,8,9,1,1,0,0,1,0,9,5,2
13,14,0,0,0.45,0.55,380,480,0.8034264184397164,0.8052482269503546,15,7,4,3,0,0,2,2,7,3,1
13,9,0,0,0.6,0.4,631,436,0.8034264184397164,0.8052482269503546,19,14,3,2,0,0,2,1,4,3,1
18,12,0,0,0.49,0.51,401,424,0.8034264184397164,0.8052482269503546,16,5,5,3,0,1,4,2,11,3,1
8,11,0,0,0.56,0.44,496,401,0.8034264184397164,0.8052482269503546,15,17,2,4,0,0,4,2,6,2,2
15,7,4,1,0.47,0.53,408,479,0.8034264184397164,0.8052482269503546,12,10,3,2,0,0,3,0,7,5,0
13,7,0,0,0.67,0.33,506,253,0.8034264184397164,0.8052482269503546,14,22,3,3,0,0,3,7,4,2,1
18,10,0,0,0.63,0.37,520,320,0.8034264184397164,0.8052482269503546,8,15,1,4,0,0,4,4,12,5,0
13,12,0,0,0.48,0.52,392,427,0.8034264184397164,0.8052482269503546,10,9,0,2,0,0,4,1,4,7,1
15,5,0,0,0.6,0.4,460,322,0.8034264184397164,0.8052482269503546,5,29,2,4,0,0,3,1,7,3,2
8,12,0,0,0.43,0.57,380,478,0.8034264184397164,0.8052482269503546,14,17,3,2,1,0,2,0,2,8,2
10,21,0,0,0.47,0.53,379,417,0.8034264184397164,0.8052482269503546,10,13,0,4,0,0,7,2,3,6,1
14,8,0,0,0.6,0.4,536,362,0.8034264184397164,0.8052482269503546,13,25,2,4,0,0,3,1,6,0,2
16,17,0,0,0.62,0.38,430,279,0.8034264184397164,0.8052482269503546,24,19,3,3,0,0,3,1,5,6,0
6,25,3,11,0.32,0.68,283,564,0.8034264184397164,0.8052482269503546,13,6,6,0,2,0,0,1,2,7,1
8,9,0,0,0.58,0.42,304,229,0.8034264184397164,0.8052482269503546,14,26,4,3,0,0,0,4,5,2,0
20,12,0,0,0.56,0.44,428,344,0.8034264184397164,0.8052482269503546,8,22,1,4,0,0,6,0,13,7,1
14,14,0,0,0.61,0.39,425,267,0.8034264184397164,0.8052482269503546,18,16,2,4,0,0,0,2,4,4,0
9,12,0,0,0.54,0.46,482,425,0.8034264184397164,0.8052482269503546,12,10,3,2,0,0,0,1,4,4,1
12,8,0,0,0.54,0.46,504,457,0.8034264184397164,0.8052482269503546,8,14,0,0,0,1,1,1,4,3,2
10,10,0,0,0.41,0.59,351,502,0.8034264184397164,0.8052482269503546,19,17,4,3,1,1,4,1,6,7,1
14,12,0,0,0.51,0.49,476,485,0.8034264184397164,0.8052482269503546,9,11,3,4,0,0,0,7,7,1,1
14,6,0,0,0.62,0.38,526,323,0.8034264184397164,0.8052482269503546,9,16,4,3,0,0,2,1,5,4,2
12,15,0,0,0.48,0.52,377,394,0.8034264184397164,0.8052482269503546,13,12,4,4,1,1,0,2,3,11,1
16,13,0,0,0.58,0.42,414,314,0.8034264184397164,0.8052482269503546,14,13,1,5,0,0,9,1,9,9,0
17,15,0,0,0.51,0.49,381,384,0.8034264184397164,0.8052482269503546,10,20,2,3,0,2,4,2,2,3,0
11,21,3,6,0.52,0.48,473,452,0.8034264184397164,0.8052482269503546,18,16,3,2,0,0,0,1,6,3,1
12,7,0,0,0.5,0.5,375,406,0.8034264184397164,0.8052482269503546,14,16,3,3,0,0,1,3,12,4,2
14,14,0,0,0.64,0.36,433,265,0.8034264184397164,0.8052482269503546,7,16,1,6,0,0,2,1,16,3,0
13,6,0,0,0.52,0.48,473,452,0.8034264184397164,0.8052482269503546,10,11,0,2,0,0,1,3,7,3,1
13,7,0,0,0.58,0.42,505,376,0.8034264184397164,0.8052482269503546,11,13,2,1,0,0,4,7,10,3,1
13,9,0,0,0.4,0.6,344,503,0.8034264184397164,0.8052482269503546,18,14,1,3,0,0,2,3,8,2,1
19,10,6,5,0.46,0.54,371,443,0.8034264184397164,0.8052482269503546,15,12,2,2,0,1,6,1,13,3,2
14,18,0,0,0.52,0.48,408,371,0.8034264184397164,0.8052482269503546,16,27,1,2,0,0,2,1,6,5,1
11,12,0,0,0.51,0.49,373,362,0.8034264184397164,0.8052482269503546,15,22,5,5,0,0,3,4,2,3,1
6,6,0,0,0.68,0.32,535,255,0.8034264184397164,0.8052482269503546,10,18,0,4,0,0,7,1,10,2,1
16,12,0,0,0.39,0.61,324,506,0.8034264184397164,0.8052482269503546,12,4,2,3,1,0,3,2,7,8,1
12,13,0,0,0.6,0.4,469,322,0.8034264184397164,0.8052482269503546,8,13,2,2,1,0,3,2,7,6,1
13,13,0,0,0.48,0.52,375,404,0.8034264184397164,0.8052482269503546,16,11,3,2,1,1,6,1,6,6,1
16,8,0,0,0.48,0.52,428,472,0.8034264184397164,0.8052482269503546,15,17,0,3,0,0,4,2,2,3,1
10,16,0,0,0.4,0.6,394,564,0.8034264184397164,0.8052482269503546,11,8,5,3,0,0,5,6,4,3,1
14,22,0,0,0.42,0.58,353,478,0.8034264184397164,0.8052482269503546,21,21,6,5,0,0,0,1,2,13,1
8,11,0,0,0.63,0.37,580,337,0.8034264184397164,0.8052482269503546,14,11,3,2,0,0,1,4,3,3,2
10,11,0,0,0.54,0.46,501,432,0.8034264184397164,0.8052482269503546,8,17,0,2,0,0,3,1,2,4,1
10,16,0,0,0.46,0.54,395,443,0.8034264184397164,0.8052482269503546,17,20,1,2,1,0,1,1,1,4,1
11,17,0,0,0.54,0.46,522,468,0.8034264184397164,0.8052482269503546,12,5,2,1,0,0,2,0,5,5,1
9,8,0,0,0.48,0.52,424,442,0.8034264184397164,0.8052482269503546,21,7,3,2,0,0,1,1,3,1,1
6,12,0,0,0.41,0.59,333,454,0.8034264184397164,0.8052482269503546,17,22,2,1,0,0,2,4,4,5,0
18,5,0,0,0.54,0.46,424,370,0.8034264184397164,0.8052482269503546,10,18,0,2,0,1,1,1,6,4,1
19,7,0,0,0.68,0.32,508,261,0.8034264184397164,0.8052482269503546,12,12,1,1,0,2,2,0,14,4,1
11,13,0,0,0.63,0.37,500,293,0.8034264184397164,0.8052482269503546,14,16,2,5,0,1,2,4,9,5,0
6,14,0,0,0.38,0.62,382,605,0.8034264184397164,0.8052482269503546,12,12,2,2,0,0,3,1,5,7,0
7,17,0,0,0.41,0.59,462,654,0.8034264184397164,0.8052482269503546,13,12,3,1,1,0,0,2,1,2,2
7,14,0,0,0.4,0.6,333,492,0.8034264184397164,0.8052482269503546,16,18,2,1,0,0,2,3,4,7,0
19,9,0,0,0.53,0.47,506,464,0.8034264184397164,0.8052482269503546,12,22,3,3,0,0,1,1,1,5,2
12,9,0,0,0.62,0.38,549,346,0.8034264184397164,0.8052482269503546,9,20,3,2,0,0,4,3,8,5,2
19,11,0,0,0.54,0.46,537,452,0.8034264184397164,0.8052482269503546,11,5,3,1,0,1,0,5,4,6,2
8,14,0,0,0.59,0.41,546,374,0.8034264184397164,0.8052482269503546,8,7,3,0,0,0,1,1,5,7,1
10,12,0,0,0.59,0.41,529,365,0.8034264184397164,0.8052482269503546,7,8,2,1,0,0,3,0,8,5,1
19,8,0,0,0.52,0.48,422,396,0.8034264184397164,0.8052482269503546,18,17,4,6,0,0,1,6,7,2,0
18,12,0,0,0.57,0.43,430,329,0.8034264184397164,0.8052482269503546,12,11,2,6,0,0,2,1,11,2,1
11,13,0,0,0.48,0.52,325,337,0.8034264184397164,0.8052482269503546,21,11,2,1,0,0,0,2,10,7,2
12,10,0,0,0.54,0.46,462,404,0.8034264184397164,0.8052482269503546,17,12,2,2,0,0,7,0,9,5,1
8,9,0,0,0.4,0.6,385,563,0.8034264184397164,0.8052482269503546,19,17,2,3,0,0,5,2,2,3,2
10,14,0,0,0.52,0.48,507,475,0.8034264184397164,0.8052482269503546,10,12,0,3,0,0,4,0,2,8,2
8,11,0,0,0.47,0.53,453,478,0.8034264184397164,0.8052482269503546,6,13,1,2,0,0,1,3,3,8,1
8,15,0,0,0.61,0.39,454,297,0.8034264184397164,0.8052482269503546,15,10,2,2,0,0,1,5,5,6,1
5,14,0,0,0.52,0.48,419,391,0.8034264184397164,0.8052482269503546,12,12,5,1,0,0,1,2,2,6,1
21,7,0,0,0.62,0.38,590,372,0.8034264184397164,0.8052482269503546,16,12,1,3,0,0,0,0,6,3,1
11,13,0,0,0.44,0.56,406,503,0.8034264184397164,0.8052482269503546,13,19,1,3,0,0,2,0,4,4,2
16,10,0,0,0.53,0.47,447,397,0.8034264184397164,0.8052482269503546,18,14,1,3,0,0,5,3,2,10,1
8,16,0,0,0.4,0.6,394,535,0.8034264184397164,0.8052482269503546,15,7,2,0,0,0,1,7,1,13,2
7,8,0,0,0.37,0.63,283,456,0.8034264184397164,0.8052482269503546,19,17,3,4,0,0,3,4,2,6,2
9,23,0,0,0.41,0.59,322,456,0.8034264184397164,0.8052482269503546,11,12,2,1,0,0,2,1,2,10,2
22,3,0,0,0.64,0.36,537,315,0.8034264184397164,0.8052482269503546,17,13,2,1,0,0,0,1,11,2,1
11,12,0,0,0.59,0.41,506,351,0.8034264184397164,0.8052482269503546,10,17,2,1,0,0,5,3,6,4,0
13,14,0,0,0.61,0.39,433,280,0.8034264184397164,0.8052482269503546,14,15,2,4,0,0,1,4,7,6,1
8,10,0,0,0.63,0.37,540,315,0.8034264184397164,0.8052482269503546,18,12,1,1,0,0,1,4,6,5,1
6,21,0,0,0.61,0.39,506,323,0.8034264184397164,0.8052482269503546,11,12,5,1,0,0,1,1,4,7,1
8,16,0,0,0.44,0.56,392,467,0.8034264184397164,0.8052482269503546,12,15,1,1,0,0,4,2,2,6,1
20,10,0,0,0.56,0.44,439,350,0.8034264184397164,0.8052482269503546,14,13,2,3,0,0,2,4,7,1,1
12,9,0,0,0.59,0.41,523,356,0.8034264184397164,0.8052482269503546,18,20,2,1,0,0,0,2,2,2,0
8,16,0,0,0.42,0.58,287,375,0.8034264184397164,0.8052482269503546,17,15,6,2,0,0,2,0,2,9,2
9,14,0,0,0.44,0.56,301,374,0.8034264184397164,0.8052482269503546,24,10,3,3,0,0,3,3,2,5,1
7,15,0,0,0.54,0.46,468,408,0.8034264184397164,0.8052482269503546,12,9,0,1,2,0,8,4,3,2,1
9,20,0,0,0.33,0.67,263,554,0.8034264184397164,0.8052482269503546,16,7,3,1,0,0,0,1,3,6,0
21,8,0,0,0.54,0.46,451,397,0.8034264184397164,0.8052482269503546,11,14,2,5,0,0,1,1,8,2,0
20,18,0,0,0.47,0.53,362,442,0.8034264184397164,0.8052482269503546,5,17,3,3,0,0,2,1,7,2,2
8,17,0,0,0.43,0.57,462,582,0.8034264184397164,0.8052482269503546,8,6,0,0,0,0,0,7,4,13,0
8,15,0,0,0.38,0.62,311,508,0.8034264184397164,0.8052482269503546,19,16,4,2,0,0,3,1,9,8,1
13,10,0,0,0.5,0.5,481,482,0.8034264184397164,0.8052482269503546,4,12,2,2,0,0,7,2,7,6,1
9,12,0,0,0.48,0.52,372,373,0.8034264184397164,0.8052482269503546,15,16,2,3,0,1,3,1,1,10,1
13,21,0,0,0.42,0.58,315,416,0.8034264184397164,0.8052482269503546,19,10,2,2,0,0,3,1,8,13,0
14,8,0,0,0.43,0.57,330,448,0.8034264184397164,0.8052482269503546,11,6,2,1,0,0,0,1,11,4,2
8,11,0,0,0.46,0.54,405,461,0.8034264184397164,0.8052482269503546,18,7,3,3,0,0,0,10,5,5,0
11,10,0,0,0.51,0.49,457,428,0.8034264184397164,0.8052482269503546,14,16,1,0,0,0,0,4,2,5,1
18,8,0,0,0.44,0.56,363,446,0.8034264184397164,0.8052482269503546,21,14,1,3,0,0,5,8,4,8,2
20,11,0,0,0.6,0.4,552,357,0.8034264184397164,0.8052482269503546,7,15,0,3,0,0,0,9,3,4,1
15,14,0,0,0.51,0.49,550,521,0.8034264184397164,0.8052482269503546,6,6,1,0,0,0,7,2,4,3,1
