chutes_1,chutes_2,chutes_no_alvo_1,chutes_no_alvo_2,posse_de_bola_1,posse_de_bola_2,passes_1,passes_2,precisao_passes_1,precisao_passes_2,faltas_1,faltas_2,cartao_amarelo_1,cartao_amarelo_2,cartao_vermelho_1,cartao_vermelho_2,impedimentos_1,impedimentos_2,escanteios_1,escanteios_2,resultado
7,8,0,0,0.44,0.56,355,459,0.8034264184397164,0.8052482269503546,26,11,3,3,0,0,5,0,7,4,0
9,8,0,0,0.41,0.59,381,502,0.8034264184397164,0.8052482269503546,13,17,2,4,0,0,1,0,1,9,2
17,16,0,0,0.52,0.48,405,373,0.8034264184397164,0.8052482269503546,16,10,3,3,0,0,3,2,4,7,0
14,18,0,0,0.45,0.55,405,481,0.8034264184397164,0.8052482269503546,15,16,0,3,0,0,1,2,3,7,1
15,12,0,0,0.49,0.51,361,380,0.8034264184397164,0.8052482269503546,18,16,2,2,0,0,2,5,3,3,1
18,7,0,0,0.69,0.31,545,262,0.8034264184397164,0.8052482269503546,15,21,2,6,0,0,0,3,7,5,0
5,16,0,0,0.58,0.42,456,339,0.8034264184397164,0.8052482269503546,17,19,2,1,0,0,7,0,4,4,2
9,5,0,0,0.57,0.43,426,341,0.8034264184397164,0.8052482269503546,11,19,1,2,0,0,5,3,6,1,2
6,15,0,0,0.49,0.51,347,339,0.8034264184397164,0.8052482269503546,13,20,2,3,1,0,1,3,2,10,0
4,14,0,0,0.37,0.63,354,579,0.8034264184397164,0.8052482269503546,14,16,1,2,0,0,1,5,0,3,1
27,8,0,0,0.52,0.48,515,485,0.8034264184397164,0.8052482269503546,16,12,0,2,0,1,0,1,7,2,1
8,29,0,0,0.39,0.61,304,442,0.8034264184397164,0.8052482269503546,18,15,4,1,0,0,1,2,3,12,2
9,16,3,5,0.58,0.42,466,354,0.8034264184397164,0.8052482269503546,20,13,5,3,0,0,0,0,7,2,1
23,9,0,0,0.57,0.43,434,358,0.8034264184397164,0.8052482269503546,15,11,3,2,0,0,3,2,13,2,2
23,10,0,0,0.62,0.38,535,335,0.8034264184397164,0.8052482269503546,11,13,1,0,0,0,1,2,4,5,1
12,6,0,0,0.65,0.35,446,246,0.8034264184397164,0.8052482269503546,26,19,3,3,1,1,0,1,3,6,1
8,10,0,0,0.51,0.49,444,421,0.8034264184397164,0.8052482269503546,9,23,1,2,0,0,1,1,1,6,1
15,8,0,0,0.58,0.42,590,430,0.8034264184397164,0.8052482269503546,13,12,1,3,0,0,1,1,10,3,1
14,5,0,0,0.46,0.54,352,416,0.8034264184397164,0.8052482269503546,21,21,6,4,0,0,0,1,7,1,1
21,7,0,0,0.68,0.32,569,291,0.8034264184397164,0.8052482269503546,13,11,4,1,0,0,3,0,13,1,0
6,12,0,0,0.49,0.51,369,338,0.8034264184397164,0.8052482269503546,13,9,2,1,0,0,0,0,2,8,2
6,13,0,0,0.55,0.45,446,381,0.8034264184397164,0.8052482269503546,19,19,2,2,0,0,3,2,3,8,2
13,8,0,0,0.5,0.5,502,517,0.8034264184397164,0.8052482269503546,10,12,1,1,0,0,2,5,4,2,1
13,12,0,0,0.54,0.46,400,361,0.8034264184397164,0.8052482269503546,23,20,3,4,0,0,4,1,4,3,1
10,7,0,0,0.47,0.53,399,476,0.8034264184397164,0.8052482269503546,15,8,2,2,0,1,1,4,8,1,0
19,11,0,0,0.45,0.55,296,361,0.8034264184397164,0.8052482269503546,19,9,1,2,0,0,2,4,4,7,1
12,6,0,0,0.72,0.28,548,224,0.8034264184397164,0.8052482269503546,8,22,1,3,0,0,1,0,9,3,0
17,10,0,0,0.6,0.4,533,379,0.8034264184397164,0.8052482269503546,9,10,2,2,0,0,1,1,9,4,0
12,10,3,7,0.56,0.44,536,436,0.8034264184397164,0.8052482269503546,12,11,0,3,0,0,4,3,6,1,1
8,3,0,0,0.37,0.63,322,546,0.8034264184397164,0.8052482269503546,16,12,2,2,0,0,0,1,5,2,1
13,15,0,0,0.38,0.62,368,584,0.8034264184397164,0.8052482269503546,18,18,3,1,0,0,0,2,4,5,0
8,21,0,0,0.39,0.61,384,544,0.8034264184397164,0.8052482269503546,17,9,2,2,0,0,1,1,3,12,2
11,12,0,0,0.58,0.42,474,347,0.8034264184397164,0.8052482269503546,14,10,1,1,0,0,2,1,4,6,1
13,23,0,0,0.34,0.66,261,495,0.8034264184397164,0.8052482269503546,18,15,1,0,0,0,1,0,2,8,0
16,11,4,2,0.53,0.47,410,395,0.8034264184397164,0.8052482269503546,11,11,2,4,0,0,5,2,11,3,1
9,7,0,0,0.42,0.58,381,521,0.8034264184397164,0.8052482269503546,11,7,2,1,0,1,1,3,2,3,1
18,10,0,0,0.59,0.41,491,338,0.8034264184397164,0.8052482269503546,13,20,2,4,0,0,4,5,4,2,1
11,11,0,0,0.52,0.48,342,328,0.8034264184397164,0.8052482269503546,20,18,4,3,0,0,0,5,3,4,1
12,13,0,0,0.52,0.48,419,386,0.8034264184397164,0.8052482269503546,24,15,3,1,0,0,0,2,7,6,2
15,10,0,0,0.54,0.46,413,371,0.8034264184397164,0.8052482269503546,22,14,4,4,0,0,2,1,7,3,0
13,16,0,0,0.41,0.59,297,439,0.8034264184397164,0.8052482269503546,18,16,5,3,0,0,1,1,3,5,0
14,18,0,0,0.57,0.43,507,379,0.8034264184397164,0.8052482269503546,15,12,0,1,0,0,3,3,5,3,1
14,11,0,0,0.46,0.54,430,485,0.8034264184397164,0.8052482269503546,8,15,3,4,0,0,5,2,6,6,0
13,11,0,0,0.37,0.63,315,522,0.8034264184397164,0.8052482269503546,24,15,2,3,0,0,1,0,5,9,1
15,3,0,0,0.42,0.58,272,395,0.8034264184397164,0.8052482269503546,21,25,2,2,0,0,1,3,11,3,1
16,5,0,0,0.6,0.4,482,331,0.8034264184397164,0.8052482269503546,12,28,2,5,0,0,2,0,9,2,1
13,26,0,0,0.39,0.61,349,509,0.8034264184397164,0.8052482269503546,15,14,4,1,0,0,3,0,6,10,1
10,14,0,0,0.47,0.53,343,398,0.8034264184397164,0.8052482269503546,20,15,2,1,0,0,9,2,5,3,0
17,7,0,0,0.67,0.33,503,256,0.8034264184397164,0.8052482269503546,15,20,2,4,0,0,4,2,4,5,0
12,13,0,0,0.37,0.63,314,530,0.8034264184397164,0.8052482269503546,24,9,4,4,0,0,1,3,4,7,1
6,13,0,0,0.37,0.63,295,491,0.8034264184397164,0.8052482269503546,14,11,2,2,0,0,1,2,7,8,2
12,7,0,0,0.42,0.58,350,485,0.8034264184397164,0.8052482269503546,15,12,3,3,0,0,3,1,7,4,2
16,10,0,0,0.58,0.42,360,266,0.8034264184397164,0.8052482269503546,15,18,1,2,0,0,1,0,2,5,1
13,12,0,0,0.51,0.49,412,396,0.8034264184397164,0.8052482269503546,13,10,1,1,0,0,0,0,6,4,2
18,15,0,0,0.44,0.56,378,483,0.8034264184397164,0.8052482269503546,19,12,1,2,0,0,1,1,3,2,1
12,14,0,0,0.39,0.61,332,509,0.8034264184397164,0.8052482269503546,15,15,2,0,0,0,0,1,5,6,1
10,18,0,0,0.49,0.51,434,433,0.8034264184397164,0.8052482269503546,16,14,1,2,0,0,1,1,4,7,1
18,11,0,0,0.66,0.34,455,238,0.8034264184397164,0.8052482269503546,12,22,3,6,0,0,2,0,4,9,0
18,6,0,0,0.59,0.41,484,341,0.8034264184397164,0.8052482269503546,16,16,0,2,0,0,2,1,8,4,2
5,30,0,0,0.41,0.59,346,454,0.8034264184397164,0.8052482269503546,22,9,2,1,0,0,0,2,0,8,0
16,8,0,0,0.51,0.49,403,410,0.8034264184397164,0.8052482269503546,13,16,1,3,0,0,4,5,5,5,1
15,13,0,0,0.49,0.51,389,416,0.8034264184397164,0.8052482269503546,20,24,3,5,1,0,1,3,8,2,2
17,9,0,0,0.56,0.44,484,385,0.8034264184397164,0.8052482269503546,15,20,2,4,0,0,1,2,8,3,1
15,2,0,0,0.52,0.48,471,458,0.8034264184397164,0.8052482269503546,15,8,2,1,0,1,6,0,8,0,1
22,4,0,0,0.73,0.27,611,242,0.8034264184397164,0.8052482269503546,13,12,3,2,0,0,3,2,11,3,2
12,12,0,0,0.46,0.54,374,428,0.8034264184397164,0.8052482269503546,17,13,3,3,0,0,3,4,8,6,1
3,24,0,0,0.38,0.62,383,623,0.8034264184397164,0.8052482269503546,17,18,4,4,0,0,1,1,0,7,0
8,16,0,0,0.59,0.41,428,304,0.8034264184397164,0.8052482269503546,17,20,7,5,0,0,2,2,5,5,2
16,6,0,0,0.67,0.33,506,264,0.8034264184397164,0.8052482269503546,18,16,2,1,0,0,5,1,13,0,0
18,17,0,0,0.43,0.57,351,492,0.8034264184397164,0.8052482269503546,15,13,4,0,0,0,1,2,6,3,2
11,7,0,0,0.63,0.37,474,288,0.8034264184397164,0.8052482269503546,18,19,4,5,0,0,0,2,9,4,0
9,12,0,0,0.48,0.52,379,389,0.8034264184397164,0.8052482269503546,20,19,3,5,0,0,1,4,4,8,1
13,10,0,0,0.58,0.42,477,344,0.8034264184397164,0.8052482269503546,14,12,2,3,0,0,3,0,6,6,1
18,10,0,0,0.54,0.46,323,306,0.8034264184397164,0.8052482269503546,21,15,3,3,0,0,4,1,11,4,1
10,8,0,0,0.37,0.63,292,507,0.8034264184397164,0.8052482269503546,16,25,3,4,0,0,4,1,6,4,1
24,7,0,0,0.55,0.45,417,362,0.8034264184397164,0.8052482269503546,9,18,2,3,1,0,2,7,11,4,0
12,12,0,0,0.36,0.64,278,465,0.8034264184397164,0.8052482269503546,22,15,5,2,0,0,3,1,3,9,1
9,11,0,0,0.55,0.45,405,339,0.8034264184397164,0.8052482269503546,20,16,2,1,0,0,1,3,7,3,1
17,18,0,0,0.49,0.51,394,406,0.8034264184397164,0.8052482269503546,17,17,5,2,0,0,5,3,6,5,1
8,15,0,0,0.49,0.51,328,335,0.8034264184397164,0.8052482269503546,19,20,3,3,0,0,3,1,2,6,1
11,14,0,0,0.61,0.39,576,370,0.8034264184397164,0.8052482269503546,9,15,0,3,0,0,3,0,2,5,1
18,6,0,0,0.64,0.36,446,262,0.8034264184397164,0.8052482269503546,15,19,1,3,0,0,2,2,10,0,1
9,17,0,0,0.51,0.49,447,433,0.8034264184397164,0.8052482269503546,15,17,2,2,0,0,1,5,2,8,1
9,10,0,0,0.62,0.38,586,370,0.8034264184397164,0.8052482269503546,19,13,1,2,0,0,0,5,1,3,2
21,8,0,0,0.59,0.41,484,341,0.8034264184397164,0.8052482269503546,19,8,4,3,0,1,5,2,10,5,1
16,17,0,0,0.55,0.45,494,409,0.8034264184397164,0.8052482269503546,8,14,1,1,0,1,4,1,6,6,2
7,20,0,0,0.4,0.6,325,456,0.8034264184397164,0.8052482269503546,17,25,2,2,0,0,0,1,3,10,1
13,16,0,0,0.47,0.53,353,395,0.8034264184397164,0.8052482269503546,20,16,2,3,0,0,3,2,4,7,1
16,9,0,0,0.62,0.38,480,312,0.8034264184397164,0.8052482269503546,16,16,4,2,0,0,4,2,9,1,2
13,16,0,0,0.47,0.53,327,360,0.8034264184397164,0.8052482269503546,12,11,2,0,0,0,1,1,4,7,1
9,17,0,0,0.36,0.64,276,459,0.8034264184397164,0.8052482269503546,18,14,1,2,1,1,0,3,4,11,1
13,11,0,0,0.52,0.48,402,384,0.8034264184397164,0.8052482269503546,18,17,2,1,0,0,3,1,6,3,1
11,7,0,0,0.6,0.4,444,303,0.8034264184397164,0.8052482269503546,23,16,4,3,0,0,5,4,5,2,0
7,12,0,0,0.41,0.59,305,431,0.8034264184397164,0.8052482269503546,12,10,1,2,0,0,1,3,5,9,0
11,16,0,0,0.51,0.49,458,444,0.8034264184397164,0.8052482269503546,16,14,4,1,0,0,1,5,2,7,1
8,23,0,0,0.41,0.59,403,523,0.8034264184397164,0.8052482269503546,10,10,1,2,0,0,3,2,2,12,2
9,10,0,0,0.47,0.53,368,386,0.8034264184397164,0.8052482269503546,17,13,0,1,0,1,1,2,4,8,0
6,17,0,0,0.43,0.57,399,492,0.8034264184397164,0.8052482269503546,13,12,4,3,0,0,0,1,3,15,1
5,17,0,0,0.6,0.4,488,313,0.8034264184397164,0.8052482269503546,18,16,1,2,0,0,3,5,3,5,1
13,10,0,0,0.59,0.41,526,368,0.8034264184397164,0.8052482269503546,12,15,1,2,0,1,5,4,5,4,0
24,9,0,0,0.65,0.35,452,252,0.8034264184397164,0.8052482269503546,13,13,2,0,0,1,0,0,4,5,0
11,12,0,0,0.41,0.59,381,529,0.8034264184397164,0.8052482269503546,18,19,4,3,0,0,2,2,2,8,2
6,16,0,0,0.37,0.63,376,612,0.8034264184397164,0.8052482269503546,15,13,1,0,1,0,1,1,4,3,1
12,15,0,0,0.34,0.66,279,519,0.8034264184397164,0.8052482269503546,24,18,5,3,0,0,1,3,2,8,2
9,12,0,0,0.54,0.46,512,436,0.8034264184397164,0.8052482269503546,14,8,0,0,0,1,2,0,2,5,1
12,12,0,0,0.67,0.33,635,325,0.8034264184397164,0.8052482269503546,16,16,1,4,1,0,0,1,9,1,2
4,25,0,0,0.35,0.65,311,565,0.8034264184397164,0.8052482269503546,17,16,2,2,1,0,0,0,1,9,1
13,7,0,0,0.48,0.52,377,420,0.8034264184397164,0.8052482269503546,12,23,0,2,1,0,2,2,4,2,0
11,22,0,0,0.32,0.68,317,645,0.8034264184397164,0.8052482269503546,11,17,3,4,0,0,6,1,1,9,2
8,12,0,0,0.57,0.43,476,372,0.8034264184397164,0.8052482269503546,12,12,1,1,0,0,2,2,4,5,1
17,7,0,0,0.66,0.34,464,253,0.8034264184397164,0.8052482269503546,20,21,0,1,0,0,3,3,8,1,2
12,9,0,0,0.43,0.57,362,455,0.8034264184397164,0.8052482269503546,12,16,0,2,0,0,4,3,6,7,0
15,11,0,0,0.49,0.51,463,458,0.8034264184397164,0.8052482269503546,13,11,1,1,0,0,5,2,3,5,1
20,3,0,0,0.64,0.36,439,269,0.8034264184397164,0.8052482269503546,15,24,2,5,0,0,2,2,7,1,2
9,22,0,0,0.57,0.43,405,313,0.8034264184397164,0.8052482269503546,14,12,2,1,0,0,2,0,6,4,1
20,3,0,0,0.59,0.41,453,325,0.8034264184397164,0.8052482269503546,13,24,2,3,0,0,4,0,4,2,1
12,15,0,0,0.4,0.6,312,474,0.8034264184397164,0.8052482269503546,20,11,3,1,0,1,2,2,4,5,1
8,7,0,0,0.43,0.57,374,493,0.8034264184397164,0.8052482269503546,16,12,2,3,0,0,1,5,5,7,1
13,4,0,0,0.69,0.31,614,290,0.8034264184397164,0.8052482269503546,11,20,2,5,0,1,1,1,10,3,1
5,12,0,0,0.33,0.67,307,583,0.8034264184397164,0.8052482269503546,19,12,1,5,0,0,5,0,3,8,1
13,15,0,0,0.56,0.44,406,311,0.8034264184397164,0.8052482269503546,19,21,3,4,0,0,5,0,5,6,1
12,21,0,0,0.43,0.57,381,498,0.8034264184397164,0.8052482269503546,15,19,3,4,0,0,2,0,8,4,2
15,8,0,0,0.47,0.53,510,560,0.8034264184397164,0.8052482269503546,13,12,2,2,0,0,2,0,3,3,1
21,11,0,0,0.59,0.41,520,375,0.8034264184397164,0.8052482269503546,13,12,1,2,0,0,6,1,8,3,1
14,11,0,0,0.43,0.57,388,509,0.8034264184397164,0.8052482269503546,17,11,2,2,0,0,2,0,6,5,1
19,13,0,0,0.61,0.39,530,341,0.8034264184397164,0.8052482269503546,11,30,1,3,0,0,4,2,6,6,1
7,8,0,0,0.45,0.55,371,459,0.8034264184397164,0.8052482269503546,18,9,4,3,0,0,1,3,11,2,0
8,15,0,0,0.38,0.62,296,468,0.8034264184397164,0.8052482269503546,18,18,2,1,0,0,1,5,2,2,2
9,6,0,0,0.45,0.55,448,541,0.8034264184397164,0.8052482269503546,10,13,2,1,0,0,2,3,6,3,1
9,6,0,0,0.43,0.57,396,495,0.8034264184397164,0.8052482269503546,23,16,4,4,0,0,6,0,2,8,1
10,18,0,0,0.43,0.57,319,405,0.8034264184397164,0.8052482269503546,16,25,2,2,0,0,0,3,2,8,2
16,4,0,0,0.53,0.47,425,424,0.8034264184397164,0.8052482269503546,19,20,3,3,0,0,3,1,11,1,1
15,6,0,0,0.41,0.59,281,410,0.8034264184397164,0.8052482269503546,32,19,2,2,0,0,0,2,2,0,1
17,14,0,0,0.47,0.53,378,426,0.8034264184397164,0.8052482269503546,20,12,6,3,0,0,2,1,9,6,2
11,6,0,0,0.54,0.46,453,386,0.8034264184397164,0.8052482269503546,17,15,2,2,0,0,2,1,4,4,1
14,11,0,0,0.42,0.58,357,453,0.8034264184397164,0.8052482269503546,19,16,3,3,0,0,3,0,2,6,2
16,11,0,0,0.58,0.42,457,336,0.8034264184397164,0.8052482269503546,9,14,2,3,0,0,5,2,7,1,1
19,8,0,0,0.6,0.4,446,304,0.8034264184397164,0.8052482269503546,16,16,0,1,0,1,0,3,13,4,0
16,13,0,0,0.5,0.5,447,445,0.8034264184397164,0.8052482269503546,10,16,0,0,0,0,5,3,5,5,1
11,17,0,0,0.46,0.54,386,463,0.8034264184397164,0.8052482269503546,19,17,0,2,0,0,1,2,1,5,0
7,10,0,0,0.45,0.55,364,426,0.8034264184397164,0.8052482269503546,14,15,4,2,0,0,2,0,3,3,1
13,3,0,0,0.55,0.45,504,410,0.8034264184397164,0.8052482269503546,15,25,2,2,0,0,5,0,3,2,1
13,11,0,0,0.62,0.38,508,325,0.8034264184397164,0.8052482269503546,11,12,1,0,0,1,4,3,7,5,1
10,6,0,0,0.48,0.52,437,458,0.8034264184397164,0.8052482269503546,10,17,1,2,0,1,1,0,4,1,2
11,10,0,0,0.49,0.51,408,421,0.8034264184397164,0.8052482269503546,13,14,2,2,0,0,1,5,8,7,2
17,7,0,0,0.46,0.54,366,443,0.8034264184397164,0.8052482269503546,16,19,1,1,0,1,2,1,5,2,1
18,7,0,0,0.67,0.33,367,187,0.8034264184397164,0.8052482269503546,13,22,4,3,0,0,5,3,11,8,0
16,10,0,0,0.45,0.55,437,518,0.8034264184397164,0.8052482269503546,8,7,2,2,0,0,8,1,4,4,2
13,12,0,0,0.47,0.53,346,385,0.8034264184397164,0.8052482269503546,15,17,2,3,0,0,0,0,7,4,1
10,10,0,0,0.57,0.43,369,274,0.8034264184397164,0.8052482269503546,12,23,2,4,0,0,4,3,3,4,1
15,16,0,0,0.4,0.6,354,521,0.8034264184397164,0.8052482269503546,11,8,0,0,0,0,1,4,4,9,1
15,13,0,0,0.44,0.56,345,429,0.8034264184397164,0.8052482269503546,16,16,4,1,0,0,1,1,2,3,0
4,29,0,0,0.43,0.57,438,573,0.8034264184397164,0.8052482269503546,13,16,3,2,0,0,0,0,4,9,1
9,13,0,0,0.59,0.41,395,286,0.8034264184397164,0.8052482269503546,14,21,3,3,0,0,1,1,4,4,2
6,15,0,0,0.49,0.51,436,421,0.8034264184397164,0.8052482269503546,18,16,3,2,0,0,2,2,3,9,2
13,15,0,0,0.4,0.6,332,484,0.8034264184397164,0.8052482269503546,16,13,2,4,0,0,6,1,5,8,1
7,19,0,0,0.39,0.61,360,550,0.8034264184397164,0.8052482269503546,17,15,2,1,0,0,0,2,5,6,0
8,15,0,0,0.43,0.57,333,436,0.8034264184397164,0.8052482269503546,18,14,0,3,0,0,1,2,5,6,1
13,16,0,0,0.56,0.44,435,340,0.8034264184397164,0.8052482269503546,13,22,1,3,0,0,1,1,2,6,1
19,5,0,0,0.52,0.48,302,285,0.8034264184397164,0.8052482269503546,29,18,3,4,0,0,2,2,7,2,2
8,8,0,0,0.61,0.39,609,391,0.8034264184397164,0.8052482269503546,11,10,2,1,0,0,4,3,4,4,1
3,13,0,0,0.61,0.39,524,333,0.8034264184397164,0.8052482269503546,17,19,2,0,0,0,4,2,4,4,1
19,6,0,0,0.55,0.45,354,294,0.8034264184397164,0.8052482269503546,9,20,1,3,0,1,2,0,10,7,1
6,17,0,0,0.32,0.68,301,615,0.8034264184397164,0.8052482269503546,20,13,7,1,0,0,1,0,1,9,0
12,11,0,0,0.43,0.57,316,400,0.8034264184397164,0.8052482269503546,8,18,1,4,0,0,1,3,3,3,2
16,18,0,0,0.59,0.41,464,331,0.8034264184397164,0.8052482269503546,12,15,0,2,0,0,2,1,7,5,2
9,14,0,0,0.6,0.4,427,288,0.8034264184397164,0.8052482269503546,16,15,0,1,0,0,2,2,7,9,1
20,10,0,0,0.64,0.36,463,278,0.8034264184397164,0.8052482269503546,13,19,2,3,0,1,6,1,13,2,0
16,13,0,0,0.57,0.43,402,314,0.8034264184397164,0.8052482269503546,20,16,2,2,0,1,2,1,3,6,2
12,15,0,0,0.44,0.56,284,345,0.8034264184397164,0.8052482269503546,26,23,3,2,0,0,0,3,5,8,1
8,12,0,0,0.31,0.69,229,517,0.8034264184397164,0.8052482269503546,25,12,2,0,1,1,1,0,4,5,0
17,14,0,0,0.52,0.48,449,426,0.8034264184397164,0.8052482269503546,12,17,0,4,1,0,1,4,2,2,0
10,17,0,0,0.46,0.54,352,409,0.8034264184397164,0.8052482269503546,15,16,3,2,2,0,3,2,3,4,1
3,20,0,0,0.41,0.59,368,469,0.8034264184397164,0.8052482269503546,16,13,3,2,0,0,4,2,1,11,2
4,13,0,0,0.58,0.42,547,398,0.8034264184397164,0.8052482269503546,9,8,0,0,0,0,5,1,2,5,1
14,10,0,0,0.43,0.57,330,428,0.8034264184397164,0.8052482269503546,23,12,3,2,0,0,0,2,1,3,1
16,20,0,0,0.59,0.41,401,279,0.8034264184397164,0.8052482269503546,20,22,3,2,0,0,8,2,9,2,0
12,15,0,0,0.48,0.52,343,374,0.8034264184397164,0.8052482269503546,12,14,0,1,0,0,4,2,7,6,0
14,11,0,0,0.44,0.56,387,488,0.8034264184397164,0.8052482269503546,18,11,2,1,0,0,5,1,5,7,0
13,14,0,0,0.43,0.57,395,535,0.8034264184397164,0.8052482269503546,17,13,1,1,0,0,2,3,6,4,1
18,11,0,0,0.66,0.34,511,280,0.8034264184397164,0.8052482269503546,13,20,5,3,0,0,2,1,9,3,0
9,15,0,0,0.53,0.47,476,416,0.8034264184397164,0.8052482269503546,11,15,2,2,0,1,1,3,2,7,0
11,9,0,0,0.49,0.51,374,347,0.8034264184397164,0.8052482269503546,18,22,2,2,0,0,2,2,3,8,0
9,12,0,0,0.54,0.46,442,374,0.8034264184397164,0.8052482269503546,22,20,3,4,0,0,1,3,2,6,1
19,5,0,0,0.7,0.3,517,236,0.8034264184397164,0.8052482269503546,8,17,1,0,0,0,7,1,11,4,1
14,15,0,0,0.64,0.36,479,276,0.8034264184397164,0.8052482269503546,14,26,3,3,0,0,0,0,2,2,0
12,5,0,0,0.42,0.58,369,508,0.8034264184397164,0.8052482269503546,21,19,3,4,0,0,0,0,3,4,1
13,8,0,0,0.64,0.36,447,247,0.8034264184397164,0.8052482269503546,19,20,1,1,0,0,3,4,5,4,2
8,13,0,0,0.45,0.55,461,564,0.8034264184397164,0.8052482269503546,9,10,1,1,0,0,1,4,5,5,1
7,12,0,0,0.49,0.51,333,347,0.8034264184397164,0.8052482269503546,10,19,0,0,0,0,2,1,4,2,1
8,25,0,0,0.47,0.53,337,353,0.8034264184397164,0.8052482269503546,18,13,2,2,0,0,4,2,2,9,1
18,12,0,0,0.45,0.55,452,543,0.8034264184397164,0.8052482269503546,14,7,2,1,0,0,1,1,5,5,1
16,12,0,0,0.32,0.68,296,621,0.8034264184397164,0.8052482269503546,12,11,1,3,0,0,1,1,5,2,1
10,24,0,0,0.43,0.57,299,381,0.8034264184397164,0.8052482269503546,20,16,2,1,1,0,2,2,4,8,1
14,14,0,0,0.45,0.55,453,542,0.8034264184397164,0.8052482269503546,10,11,3,4,0,0,0,0,0,5,2
16,14,0,0,0.48,0.52,394,420,0.8034264184397164,0.8052482269503546,14,16,3,3,0,0,5,2,4,4,0
7,13,0,0,0.35,0.65,255,454,0.8034264184397164,0.8052482269503546,18,15,1,3,0,0,2,2,6,12,2
8,12,0,0,0.46,0.54,406,469,0.8034264184397164,0.8052482269503546,13,18,2,3,0,0,1,1,5,0,1
11,18,0,0,0.46,0.54,398,441,0.8034264184397164,0.8052482269503546,11,10,2,2,0,0,4,0,7,7,2
10,12,0,0,0.6,0.4,495,336,0.8034264184397164,0.8052482269503546,11,13,0,1,0,0,1,4,10,5,2
12,7,0,0,0.52,0.48,355,326,0.8034264184397164,0.8052482269503546,15,26,2,3,1,0,1,8,3,3,0
11,16,0,0,0.53,0.47,387,354,0.8034264184397164,0.8052482269503546,16,14,3,1,0,0,2,3,6,2,1
6,14,0,0,0.57,0.43,593,443,0.8034264184397164,0.8052482269503546,17,15,2,3,0,0,3,2,1,4,0
9,9,0,0,0.45,0.55,289,350,0.8034264184397164,0.8052482269503546,19,15,3,1,0,0,0,2,4,6,0
12,12,0,0,0.66,0.34,451,227,0.8034264184397164,0.8052482269503546,18,27,2,4,0,0,5,0,3,3,0
20,14,0,0,0.45,0.55,242,294,0.8034264184397164,0.8052482269503546,20,16,4,2,0,0,2,3,7,6,1
14,10,0,0,0.52,0.48,410,395,0.8034264184397164,0.8052482269503546,11,11,3,3,1,0,5,3,5,5,0
16,16,0,0,0.63,0.37,433,258,0.8034264184397164,0.8052482269503546,13,22,0,4,0,1,3,1,4,4,1
11,14,0,0,0.4,0.6,400,597,0.8034264184397164,0.8052482269503546,18,8,2,0,0,0,1,5,2,5,1
12,8,0,0,0.34,0.66,301,565,0.8034264184397164,0.8052482269503546,20,18,3,2,0,1,0,1,4,6,1
13,8,0,0,0.42,0.58,374,518,0.8034264184397164,0.8052482269503546,11,12,0,2,0,0,0,2,5,6,1
12,20,0,0,0.56,0.44,497,377,0.8034264184397164,0.8052482269503546,15,18,1,2,0,0,3,1,5,3,0
21,9,0,0,0.61,0.39,496,330,0.8034264184397164,0.8052482269503546,19,20,1,1,0,0,2,1,6,1,1
15,18,0,0,0.6,0.4,553,359,0.8034264184397164,0.8052482269503546,10,16,0,2,1,1,2,3,3,7,0
10,16,0,0,0.41,0.59,347,481,0.8034264184397164,0.8052482269503546,22,22,2,2,0,0,2,1,3,10,1
7,10,0,0,0.39,0.61,258,411,0.8034264184397164,0.8052482269503546,17,19,4,5,1,0,1,2,10,3,0
12,14,0,0,0.48,0.52,405,422,0.8034264184397164,0.8052482269503546,15,13,3,1,0,1,5,2,4,5,0
22,8,0,0,0.57,0.43,470,367,0.8034264184397164,0.8052482269503546,6,9,3,2,0,0,2,0,12,4,0
12,12,0,0,0.48,0.52,415,441,0.8034264184397164,0.8052482269503546,15,13,4,3,0,0,0,0,8,4,1
9,11,0,0,0.63,0.37,503,289,0.8034264184397164,0.8052482269503546,18,15,1,6,0,0,1,1,3,5,2
12,13,0,0,0.62,0.38,508,317,0.8034264184397164,0.8052482269503546,14,20,0,1,0,0,4,3,7,5,1
6,21,0,0,0.46,0.54,262,299,0.8034264184397164,0.8052482269503546,24,25,2,1,0,0,1,0,2,5,1
21,5,0,0,0.47,0.53,419,479,0.8034264184397164,0.8052482269503546,12,16,3,4,0,0,2,3,3,4,1
5,11,0,0,0.58,0.42,470,341,0.8034264184397164,0.8052482269503546,28,26,3,3,0,0,1,0,4,4,1
13,6,0,0,0.64,0.36,450,254,0.8034264184397164,0.8052482269503546,23,19,5,6,0,0,1,2,7,3,2
4,20,0,0,0.54,0.46,501,421,0.8034264184397164,0.8052482269503546,22,9,4,2,0,0,2,5,5,6,1
19,15,0,0,0.45,0.55,304,370,0.8034264184397164,0.8052482269503546,23,19,1,1,0,0,0,2,7,7,0
15,8,0,0,0.69,0.31,611,285,0.8034264184397164,0.8052482269503546,10,13,2,3,0,1,1,0,10,5,2
25,9,0,0,0.53,0.47,486,464,0.8034264184397164,0.8052482269503546,13,9,1,1,1,0,1,0,13,1,1
8,14,0,0,0.42,0.58,366,494,0.8034264184397164,0.8052482269503546,12,15,5,2,1,0,1,1,4,6,0
